phrase,connotation
Il est très économe.,1
C'est une personne ambitieuse.,1
Elle a défendu ses convictions avec passion.,1
C'est un quartier authentique et vivant.,1
Il a un regard perspicace sur les situations.,1
C'est un parfum discret et raffiné.,1
C'est une solution novatrice.,1
C'est un enfant plein de vie.,1
Elle a une silhouette fine et élancée.,1
C'est un leader né.,1
Il fait preuve d'une grande générosité.,1
Elle parle toujours avec bienveillance.,1
Il a une attitude exemplaire.,1
C'est une personne de confiance.,1
Elle a un sourire chaleureux.,1
Il est très appliqué dans son travail.,1
Elle apporte une énergie positive.,1
Il possède une grande intelligence émotionnelle.,1
C'est une idée brillante.,1
Sa créativité est remarquable.,1
Elle cuisine avec talent.,1
Il fait preuve d’un sang-froid admirable.,1
Son discours était inspirant.,1
Elle a un sens aigu de l’organisation.,1
Il est très respectueux.,1
C’est une solution efficace.,1
Elle a une voix douce et apaisante.,1
Il montre beaucoup d’empathie.,1
Elle est toujours ponctuelle.,1
Il fait preuve de courage.,1
Son travail est irréprochable.,1
Elle est très persévérante.,1
Il a une attitude constructive.,1
Elle possède un sens aigu de l’esthétique.,1
Il a un humour subtil.,1
Son écoute est remarquable.,1
Il est très dévoué.,1
Son analyse est pertinente.,1
Elle a une grande patience.,1
Il est très discipliné.,1
C’est un collaborateur fiable.,1
Elle garde toujours son calme.,1
Il a une grande capacité d’adaptation.,1
Elle fait preuve d’une grande maturité.,1
C’est une personne authentique.,1
Il a un esprit très ouvert.,1
Elle possède un talent naturel.,1
Il est extrêmement motivé.,1
Elle pense toujours aux autres.,1
C’est une initiative intelligente.,1
Il a une attitude positive.,1
Elle fait preuve d’une curiosité saine.,1
Il est très consciencieux.,1
Elle garde une vision optimiste.,1
Il comprend vite les situations.,1
C’est un excellent communicant.,1
Elle inspire confiance.,1
Il possède un vrai sens du leadership.,1
Elle a une grande détermination.,1
Il a une présence rassurante.,1
Elle est très organisée.,1
Il apporte de bonnes idées.,1
Elle a beaucoup de charisme.,1
Il est très poli.,1
Elle est dynamique et engagée.,1
Il a une grande rigueur.,1
Elle montre beaucoup de créativité.,1
Il est très attentionné.,1
Elle est douce et respectueuse.,1
Il fait preuve d'une grande honnêteté.,1
Elle apprend rapidement.,1
Il est calme et réfléchi.,1
Elle travaille avec passion.,1
Il est très serviable.,1
Elle possède une grande sensibilité artistique.,1
Il fait toujours preuve de professionnalisme.,1
Elle a un grand sens du partage.,1
Il a une écoute attentive.,1
Elle propose des solutions pertinentes.,1
Il est très travailleur.,1
Elle est motivée et persévérante.,1
Il est ouvert au dialogue.,1
Elle a beaucoup de tact.,1
Il a un esprit brillant.,1
Elle est minutieuse.,1
Il a un excellent sens de l’analyse.,1
Elle a une personnalité chaleureuse.,1
Il fait preuve de gentillesse.,1
Elle a une grande intelligence.,1
Son comportement est exemplaire.,1
Elle a un grand sens de la responsabilité.,1
Il est très coopératif.,1
Elle est toujours souriante.,1
Il est très perspicace.,1
Elle a une attitude encourageante.,1
C’est un modèle pour les autres.,1
Elle a un talent exceptionnel.,1
Il est extrêmement fiable.,1
Elle travaille avec sérieux.,1
Il est extrêmement méthodique.,1
Elle trouve toujours les mots justes.,1
C’est un enfant calme et curieux.,1
Il est radin.,0
C'est une personne arriviste.,0
Elle a imposé ses opinions avec agressivité.,0
C'est un quartier bruyant et populaire.,0
Il est sans cesse en train de critiquer.,0
C'est un parfum qui ne se remarque presque pas.,0
C'est une idée farfelue.,0
C'est un enfant turbulent et agité.,0
Elle est très maigre.,0
Il a un caractère dominateur.,0
Il est souvent de mauvaise foi.,0
Elle parle de manière condescendante.,0
Il est extrêmement paresseux.,0
Elle est toujours en train de se plaindre.,0
Il manque totalement d’initiative.,0
Elle a un comportement impulsif.,0
Il n’écoute jamais les autres.,0
Elle est trop autoritaire.,0
Il fait des remarques désagréables.,0
Elle a un ton sarcastique.,0
Il a un égo surdimensionné.,0
Elle est très susceptible.,0
Il manque sérieusement de discipline.,0
Elle juge trop rapidement.,0
Il fait souvent des erreurs stupides.,0
Elle est souvent distraite.,0
Il est très négligent.,0
Elle est froide et distante.,0
Il manque de respect.,0
Elle est trop pessimiste.,0
Il parle trop fort.,0
Elle interrompt constamment les autres.,0
Il est trop exigeant.,0
Elle dramatise tout.,0
Il manque de maturité.,0
Elle est jalouse pour rien.,0
Il répand des rumeurs.,0
Elle ment facilement.,0
Il est extrêmement têtu.,0
Elle est envahissante.,0
Il arrive toujours en retard.,0
Elle se met en colère facilement.,0
Il est trop impulsif.,0
Elle manque de sérieux.,0
Il est insupportable parfois.,0
Elle critique tout.,0
Il a un comportement infantile.,0
Elle manque de tact.,0
Il se plaint constamment.,0
Elle est très désorganisée.,0
Il a du mal à écouter.,0
Elle est trop bruyante.,0
Il est agressif dans ses propos.,0
Elle manque de politesse.,0
Il est lunatique.,0
Elle exagère toujours.,0
Il est très impatient.,0
Elle est trop émotive.,0
Il ne prend jamais ses responsabilités.,0
Elle ne respecte pas les règles.,0
Il est égoïste.,0
Elle n’est jamais satisfaite.,0
Il est déprimant.,0
Elle se mêle de tout.,0
Il est trop nerveux.,0
Elle est lente dans son travail.,0
Il oublie tout.,0
Elle est trop naïve.,0
Il manque d’engagement.,0
Elle provoque souvent les conflits.,0
Il est très prétentieux.,0
Elle est rancunière.,0
Il réagit de manière excessive.,0
Elle se met en victime.,0
Il est ingrat.,0
Elle est très matérialiste.,0
Il manque de fiabilité.,0
Elle parle sans réfléchir.,0
Il a des comportements déplacés.,0
Elle est très imprudente.,0
Il fait preuve d'arrogance.,0
Elle répète toujours les mêmes erreurs.,0
Il est manipulateur.,0
Elle est très lunatique.,0
Il se met en colère pour rien.,0
Elle est trop dépendante des autres.,0
Il fuit toujours les responsabilités.,0
Elle est incapable de garder un secret.,0
Il est excessivement jaloux.,0
Elle aime créer les problèmes.,0
Il n’admet jamais ses torts.,0
Elle est trop influençable.,0
Il est très bruyant.,0
Elle parle trop vite.,0
Il se montre souvent désagréable.,0
Elle fait tout au dernier moment.,0
Il est trop passif.,0
Elle est facilement irritable.,0
Il oublie souvent ses promesses.,0
Elle exagère les situations.,0
Il montre une grande maîtrise de soi.,1
Elle a un sens naturel du partage.,1
Il encourage toujours les autres.,1
Elle possède une élégance naturelle.,1
Il a une vision claire des objectifs.,1
Elle fait preuve d'une grande douceur.,1
Il prend des décisions réfléchies.,1
Elle s’exprime avec aisance.,1
Il est toujours prêt à aider.,1
Elle fait preuve d'une grande délicatesse.,1
Il propose des idées utiles.,1
Elle est courageuse et tenace.,1
Il est humble malgré ses réussites.,1
Elle réussit toujours à motiver l’équipe.,1
Il possède une mémoire exceptionnelle.,1
Elle est très intuitive.,1
Il développe des solutions pertinentes.,1
Elle fait preuve de détermination.,1
Il inspire la confiance.,1
Elle encourage les initiatives.,1
Il est très bienveillant.,1
Elle a un raisonnement logique.,1
Il sait apaiser les tensions.,1
Elle est responsable et sérieuse.,1
Il est extrêmement créatif.,1
Elle possède un esprit vif.,1
Il apprend très rapidement.,1
Elle prend soin des autres.,1
Il est très généreux.,1
Elle a une grande force morale.,1
Il est d’un naturel optimiste.,1
Elle a un rire communicatif.,1
Il est très cultivé.,1
Elle parle avec diplomatie.,1
Il a une grande humilité.,1
Elle aime partager ses connaissances.,1
Il est très impliqué.,1
Elle s’adapte facilement.,1
Il est calme même sous pression.,1
Elle travaille avec régularité.,1
Il a toujours de nouvelles idées.,1
Elle réfléchit avant d’agir.,1
Il garde toujours son sang-froid.,1
Elle a une grande finesse d’esprit.,1
Il a une attitude encourageante.,1
Elle cherche constamment à s’améliorer.,1
Il aime apprendre.,1
Elle respecte toujours ses engagements.,1
Il est très méthodique.,1
Elle a beaucoup d’endurance.,1
Il est très patient.,1
Elle est pleine de bonne volonté.,1
Il offre toujours son soutien.,1
Elle a un sens aigu de l’écoute.,1
Il est très inventif.,1
Elle trouve facilement des solutions.,1
Il est fiable et constant.,1
Elle est très appliquée.,1
